subject_ID,mean_parcel1,median_parcel1,mean_parcel2,median_parcel2,mean_parcel3,median_parcel3,mean_parcel4,median_parcel4,mean_parcel5,median_parcel5
sllip_001,-0.7543,-0.8035,-0.3856,-0.1069,-1.145,-1.161,-1.492,-1.512,1.083,1.049
sllip_001,0.7543,0.8035,0.3856,0.1076,1.145,1.161,1.492,1.513,-1.083,-1.047
sllip_002,-1.379,-1.477,0.3558,0.1016,-1.472,-1.466,-1.846,-1.817,-0.3754,-0.411
sllip_002,1.379,1.477,-0.3558,-0.1005,1.472,1.466,1.846,1.822,0.3754,0.4144
sllip_005,-0.217,-0.2122,-0.2306,-0.1557,0.5447,0.5498,0.241,0.2081,-0.2175,-0.1631
sllip_005,0.217,0.2122,0.2306,0.1562,-0.5447,-0.5498,-0.241,-0.2025,0.2175,0.1705
sllip_006,-1.139,-1.253,0.29,0.2979,-1.186,-1.297,-0.8219,-0.9327,-0.4183,-0.4394
sllip_006,1.139,1.253,-0.29,-0.2969,1.186,1.297,0.8219,0.9346,0.4183,0.4427
sllip_007,0.5335,0.7695,-0.4033,-0.2669,-0.3925,-0.4019,-1.397,-1.489,-0.9333,-0.956
sllip_007,-0.5335,-0.7695,0.4033,0.267,0.3925,0.4019,1.397,1.492,0.9333,0.9577
sllip_008,-0.5575,-0.5223,-0.6399,-0.533,-0.1629,-0.1685,-0.8113,-0.8556,-0.7495,-0.7069
sllip_008,0.5575,0.5223,0.6399,0.5336,0.1629,0.1685,0.8113,0.8558,0.7495,0.7075
sllip_009,0.2208,0.2243,-0.3354,-0.08128,0.3256,0.2546,0.2302,0.1673,-1.05,-1.089
sllip_009,-0.2208,-0.2243,0.3354,0.08174,-0.3256,-0.2546,-0.2302,-0.1651,1.05,1.089
sllip_011,0.223,0.2455,-0.3498,-0.2041,-0.4286,-0.3051,0.02977,-0.002677,0.383,0.4218
sllip_011,-0.223,-0.2455,0.3498,0.2042,0.4286,0.3051,-0.02977,0.00277,-0.383,-0.421
sllip_012,0.9332,0.9095,-0.4255,-0.08464,0.2548,0.1879,-0.06648,-0.0872,-0.5299,-0.4988
sllip_012,-0.9332,-0.9095,0.4255,0.08694,-0.2548,-0.1879,0.06648,0.08821,0.5299,0.5034
sllip_013,-0.8416,-0.8485,0.1379,0,-0.7675,-0.7379,-0.7927,-0.77,-0.4186,-0.4266
sllip_013,0.8416,0.8485,-0.1379,0,0.7675,0.7379,0.7927,0.771,0.4186,0.4278
sllip_014,-0.3947,-0.3331,-0.2737,-0.1817,0.4579,0.4273,-0.26,-0.09998,-1.606,-1.572
sllip_014,0.3947,0.3331,0.2737,0.1823,-0.4579,-0.4273,0.26,0.1013,1.606,1.573
sllip_016,0.4876,0.5191,-0.8817,-0.9827,-0.176,-0.2573,-0.2043,-0.09818,-0.5539,-0.5499
sllip_016,-0.4876,-0.5191,0.8817,0.983,0.176,0.2573,0.2043,0.1014,0.5539,0.5517
sllip_023,-0.774,-0.5084,-1.129,-0.8912,-0.08203,-0.1302,-0.4981,-0.3768,0.02169,0.06442
sllip_023,0.774,0.5084,1.129,0.8928,0.08203,0.1302,0.4981,0.3772,-0.02169,-0.06414
sllip_025,0.1697,0.2285,-0.5786,-0.4873,-0.1679,-0.1936,-0.4673,-0.4449,-0.8417,-0.8132
sllip_025,-0.1697,-0.2285,0.5786,0.4873,0.1679,0.1936,0.4673,0.4482,0.8417,0.814
sllip_026,-0.1096,-0.2055,-0.1339,-0.02262,-0.5031,-0.5372,-0.9029,-0.8872,-1.066,-1.027
sllip_026,0.1096,0.2055,0.1339,0.02323,0.5031,0.5372,0.9029,0.8897,1.066,1.027
sllip_027,-0.5037,-0.5158,0.03046,0,0.2215,0.1398,-0.2266,-0.2559,2.648,2.496
sllip_027,0.5037,0.5158,-0.03046,0,-0.2215,-0.1398,0.2266,0.2563,-2.648,-2.494
sllip_029,-0.7212,-0.7556,-0.79,-0.8009,-1.167,-1.159,-0.8709,-0.8379,-1.649,-1.626
