,subject_ID,stats_image_parcel2,voxels_numb_parcel2,min_parcel2,10%_parcel2,mean_parcel2,median_parcel2,90%_parcel2,max_parcel2,stddev_parcel2,vox1_parcel2,vox2_parcel2,vox3_parcel2,mm1_parcel2,mm2_parcel2,mm3_parcel2
1,sllip_001,stats/zstat1,2436,-3.242,-1.614,-0.3856,-0.1069,0.38,3.084,0.7928,67,41,33,71.5,-29.5,12.8
1,sllip_001,stats/zstat2,2436,-3.084,-0.38,0.3856,0.1076,1.614,3.242,0.7928,65,50,30,66.5,-7,4.5
2,sllip_002,stats/zstat1,2632,-8.48,-1.509,0.3558,0.1016,2.415,8.229,1.7,68,36,30,74,-42,4.5
2,sllip_002,stats/zstat2,2632,-8.229,-2.415,-0.3558,-0.1005,1.509,8.48,1.7,68,46,30,74,-17,4.5
3,sllip_005,stats/zstat1,2569,-3.283,-1.044,-0.2306,-0.1557,0.5227,3.634,0.6748,68,47,22,74,-14.5,-17.5
3,sllip_005,stats/zstat2,2569,-3.634,-0.5227,0.2306,0.1562,1.044,3.283,0.6748,67,46,26,71.5,-17,-6.5
4,sllip_006,stats/zstat1,2757,-3.169,-0.5308,0.29,0.2979,1.125,1.988,0.6888,59,38,34,51.5,-37,15.5
4,sllip_006,stats/zstat2,2757,-1.988,-1.125,-0.29,-0.2969,0.5308,3.169,0.6888,68,37,25,74,-39.5,-9.2
5,sllip_007,stats/zstat1,2547,-2.939,-1.645,-0.4033,-0.2669,0.6134,4.298,0.9295,68,50,21,74,-7,-20.2
5,sllip_007,stats/zstat2,2547,-4.298,-0.6134,0.4033,0.267,1.645,2.939,0.9295,67,55,29,71.5,5.5,1.8
6,sllip_008,stats/zstat1,2714,-4.288,-2.069,-0.6399,-0.533,0.579,4.792,1.074,67,55,24,71.5,5.5,-12
6,sllip_008,stats/zstat2,2714,-4.792,-0.579,0.6399,0.5336,2.069,4.288,1.074,69,43,26,76.5,-24.5,-6.5
7,sllip_009,stats/zstat1,2607,-5.71,-1.746,-0.3354,-0.08128,0.9353,3.135,1.072,64,53,23,64,0.5,-14.8
7,sllip_009,stats/zstat2,2607,-3.135,-0.9353,0.3354,0.08174,1.746,5.71,1.072,67,41,31,71.5,-29.5,7.2
8,sllip_011,stats/zstat1,2880,-3.891,-1.708,-0.3498,-0.2041,0.9083,3.228,1.013,68,39,31,74,-34.5,7.2
8,sllip_011,stats/zstat2,2880,-3.228,-0.9083,0.3498,0.2042,1.708,3.891,1.013,61,48,31,56.5,-12,7.2
9,sllip_012,stats/zstat1,2207,-3.518,-1.554,-0.4255,-0.08464,0.3226,2.702,0.7675,66,41,33,69,-29.5,12.8
9,sllip_012,stats/zstat2,2207,-2.702,-0.3226,0.4255,0.08694,1.554,3.518,0.7675,64,55,29,64,5.5,1.8
10,sllip_013,stats/zstat1,2772,-3.033,-1.104,0.1379,0,1.389,3.474,0.9621,63,40,25,61.5,-32,-9.2
10,sllip_013,stats/zstat2,2772,-3.474,-1.389,-0.1379,0,1.104,3.033,0.9621,62,57,22,59,10.5,-17.5
11,sllip_014,stats/zstat1,2818,-4.692,-1.897,-0.2737,-0.1817,1.334,4.916,1.254,67,36,30,71.5,-42,4.5
11,sllip_014,stats/zstat2,2818,-4.916,-1.334,0.2737,0.1823,1.897,4.692,1.254,68,44,30,74,-22,4.5
12,sllip_016,stats/zstat1,2780,-6.741,-1.965,-0.8817,-0.9827,0.05287,3.444,0.9338,69,39,26,76,-35,-7
12,sllip_016,stats/zstat2,2780,-3.444,-0.05287,0.8817,0.983,1.965,6.741,0.9338,67,49,32,71,-10,9.5
13,sllip_023,stats/zstat1,2720,-6.343,-3.337,-1.129,-0.8912,0.5463,3.416,1.577,62,51,31,58.5,-5,6.8
13,sllip_023,stats/zstat2,2720,-3.416,-0.5463,1.129,0.8928,3.337,6.343,1.577,61,47,24,56,-15,-12.5
14,sllip_025,stats/zstat1,2836,-3.309,-1.775,-0.5786,-0.4873,0.434,2.772,0.8733,70,47,27,78.5,-15,-4.2
14,sllip_025,stats/zstat2,2836,-2.772,-0.434,0.5786,0.4873,1.775,3.309,0.8733,58,36,29,48.5,-42.5,1.2
15,sllip_026,stats/zstat1,2954,-5.366,-1.825,-0.1339,-0.02262,1.534,4.349,1.311,68,34,30,74,-47,4.5
15,sllip_026,stats/zstat2,2954,-4.349,-1.534,0.1339,0.02323,1.825,5.366,1.311,64,54,25,64,3,-9.2
16,sllip_027,stats/zstat1,2647,-5.631,-1.434,0.03046,0,1.603,6.549,1.271,61,60,27,56.5,18,-3.8
16,sllip_027,stats/zstat2,2647,-6.549,-1.603,-0.03046,0,1.434,5.631,1.271,62,54,24,59,3,-12
17,sllip_029,stats/zstat1,2813,-4.352,-2.362,-0.79,-0.8009,0.7216,3.295,1.263,68,53,29,74,0.5,1.8
17,sllip_029,stats/zstat2,2813,-3.295,-0.7216,0.79,0.8017,2.362,4.352,1.263,57,37,33,46.5,-39.5,12.8
18,sllip_030,stats/zstat1,2794,-5.48,-2.101,-0.5982,-0.5756,0.7322,5.87,1.204,69,40,25,76,-32.5,-9.8
18,sllip_030,stats/zstat2,2794,-5.87,-0.7322,0.5982,0.576,2.101,5.48,1.204,67,49,33,71,-10,12.2
19,sllip_037,stats/zstat1,2783,-2.484,-0.3955,0.6533,0.6218,1.846,3.214,0.9033,67,36,27,71.5,-42,-3.8
19,sllip_037,stats/zstat2,2783,-3.214,-1.846,-0.6533,-0.6205,0.3955,2.484,0.9033,66,52,29,69,-2,1.8
20,sllip_038,stats/zstat1,2910,-4.155,-1.678,-0.05025,0,1.686,4.806,1.283,70,44,24,79,-22,-12
20,sllip_038,stats/zstat2,2910,-4.806,-1.686,0.05025,0,1.678,4.155,1.283,66,38,32,69,-37,10
21,sllip_039,stats/zstat1,2909,-3.562,-1.128,0.1831,0.1575,1.465,4.488,1.015,66,39,31,69,-34.5,7.2
21,sllip_039,stats/zstat2,2909,-4.488,-1.465,-0.1831,-0.1557,1.128,3.562,1.015,64,57,22,64,10.5,-17.5
22,sllip_046,stats/zstat1,2599,-3.244,-0.5549,0.4688,0.5784,1.43,2.726,0.8357,68,44,33,74,-22,12.8
22,sllip_046,stats/zstat2,2599,-2.726,-1.43,-0.4688,-0.5784,0.5549,3.244,0.8357,66,40,28,69,-32,-1
23,sllip_047,stats/zstat1,2734,-5.824,-3.535,-1.074,-1.112,1.396,5.968,1.952,67,39,26,71.5,-34.5,-6.5
23,sllip_047,stats/zstat2,2734,-5.968,-1.396,1.074,1.112,3.535,5.824,1.952,69,49,23,76.5,-9.5,-14.8
24,sllip_049,stats/zstat1,2721,-4.759,-1.969,-0.2031,0,1.447,4.843,1.321,62,58,21,59,13,-20.2
24,sllip_049,stats/zstat2,2721,-4.843,-1.447,0.2031,0,1.969,4.759,1.321,64,45,23,64,-19.5,-14.8
25,sllip_050,stats/zstat1,2851,-3.46,-1.201,-0.1845,-0.1424,0.9224,2.959,0.8489,66,34,27,69,-47,-3.8
25,sllip_050,stats/zstat2,2851,-2.959,-0.9224,0.1845,0.1426,1.201,3.46,0.8489,62,59,22,59,15.5,-17.5
26,sllip_051,stats/zstat1,2697,-3.158,-0.3803,0.5586,0.4638,1.693,3.194,0.8251,67,39,24,71.5,-34.5,-12
26,sllip_051,stats/zstat2,2697,-3.194,-1.693,-0.5586,-0.4637,0.3803,3.158,0.8251,66,37,34,69,-39.5,15.5
27,sllip_054,stats/zstat1,2740,-3.85,-0.9984,0.3908,0.267,1.847,4.794,1.101,67,36,31,71.5,-42,7.2
27,sllip_054,stats/zstat2,2740,-4.794,-1.847,-0.3908,-0.2637,0.9984,3.85,1.101,69,47,28,76.5,-14.5,-1
1,sllip_060,stats/zstat1,2526,-3.202,-0.7179,0.3763,0.2026,1.594,3.135,0.9147,62,61,27,59,20.5,-3.8
1,sllip_060,stats/zstat2,2526,-3.135,-1.594,-0.3763,-0.2008,0.7179,3.202,0.9147,62,59,20,59,15.5,-23
28,sllip_061,stats/zstat1,2551,-3.814,-0.5991,0.5719,0.4618,1.96,5.468,1.081,64,40,32,64,-32,10
28,sllip_061,stats/zstat2,2551,-5.468,-1.96,-0.5719,-0.4604,0.5991,3.814,1.081,67,44,27,71.5,-22,-3.8
29,sllip_064,stats/zstat1,2932,-5.905,-2.429,-0.5647,-0.2745,0.967,3.161,1.401,70,46,23,79,-17,-14.8
29,sllip_064,stats/zstat2,2932,-3.161,-0.967,0.5647,0.2748,2.429,5.905,1.401,69,42,29,76.5,-27,1.8
